模型,验证集_MAE,验证集_RMSE,验证集_R2
原始决策树,0.7897004317004468,1.0320724210084158,-0.1642442204884338
限制后决策树,0.7825821496037059,1.0212067955752893,-0.13985901129797362
随机森林,0.6351758815070396,0.8244335220037031,0.2570920103793888
